topic_id,topic_name
0,0_wolves_necklace_meat_pie
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
2,2_iron_murlocs_lightforge_lightforge iron
2,2_iron_murlocs_lightforge_lightforge iron
0,0_wolves_necklace_meat_pie
5,5_defias_brotherhood_defias brotherhood_gang
1,1_ye_treasure_sanders_shadowy
0,0_wolves_necklace_meat_pie
0,0_wolves_necklace_meat_pie
2,2_iron_murlocs_lightforge_lightforge iron
7,7_kobolds_jasperlode_kobold_fargodeep
0,0_wolves_necklace_meat_pie
3,3_night watch_worgen_stormwind_night
7,7_kobolds_jasperlode_kobold_fargodeep
1,1_ye_treasure_sanders_shadowy
5,5_defias_brotherhood_defias brotherhood_gang
0,0_wolves_necklace_meat_pie
5,5_defias_brotherhood_defias brotherhood_gang
0,0_wolves_necklace_meat_pie
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
7,7_kobolds_jasperlode_kobold_fargodeep
0,0_wolves_necklace_meat_pie
0,0_wolves_necklace_meat_pie
2,2_iron_murlocs_lightforge_lightforge iron
-1,-1_amber_collector_truth_sweet amber
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
4,4_stalvan_legend_legend stalvan_page
4,4_stalvan_legend_legend stalvan_page
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
1,1_ye_treasure_sanders_shadowy
4,4_stalvan_legend_legend stalvan_page
3,3_night watch_worgen_stormwind_night
1,1_ye_treasure_sanders_shadowy
4,4_stalvan_legend_legend stalvan_page
4,4_stalvan_legend_legend stalvan_page
-1,-1_amber_collector_truth_sweet amber
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
2,2_iron_murlocs_lightforge_lightforge iron
4,4_stalvan_legend_legend stalvan_page
1,1_ye_treasure_sanders_shadowy
1,1_ye_treasure_sanders_shadowy
1,1_ye_treasure_sanders_shadowy
4,4_stalvan_legend_legend stalvan_page
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
3,3_night watch_worgen_stormwind_night
4,4_stalvan_legend_legend stalvan_page
-1,-1_amber_collector_truth_sweet amber
4,4_stalvan_legend_legend stalvan_page
3,3_night watch_worgen_stormwind_night
0,0_wolves_necklace_meat_pie
4,4_stalvan_legend_legend stalvan_page
-1,-1_amber_collector_truth_sweet amber
4,4_stalvan_legend_legend stalvan_page
-1,-1_amber_collector_truth_sweet amber
6,6_gnoll_gnolls_garrison_westfall
3,3_night watch_worgen_stormwind_night
1,1_ye_treasure_sanders_shadowy
3,3_night watch_worgen_stormwind_night
3,3_night watch_worgen_stormwind_night
-1,-1_amber_collector_truth_sweet amber
4,4_stalvan_legend_legend stalvan_page
4,4_stalvan_legend_legend stalvan_page
1,1_ye_treasure_sanders_shadowy
3,3_night watch_worgen_stormwind_night
2,2_iron_murlocs_lightforge_lightforge iron
0,0_wolves_necklace_meat_pie
2,2_iron_murlocs_lightforge_lightforge iron
0,0_wolves_necklace_meat_pie
8,8_morganth_tower ilgalar_glyph_gathilzogg
-1,-1_amber_collector_truth_sweet amber
-1,-1_amber_collector_truth_sweet amber
3,3_night watch_worgen_stormwind_night
1,1_ye_treasure_sanders_shadowy
2,2_iron_murlocs_lightforge_lightforge iron
1,1_ye_treasure_sanders_shadowy
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
0,0_wolves_necklace_meat_pie
1,1_ye_treasure_sanders_shadowy
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
2,2_iron_murlocs_lightforge_lightforge iron
1,1_ye_treasure_sanders_shadowy
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
3,3_night watch_worgen_stormwind_night
3,3_night watch_worgen_stormwind_night
-1,-1_amber_collector_truth_sweet amber
1,1_ye_treasure_sanders_shadowy
0,0_wolves_necklace_meat_pie
0,0_wolves_necklace_meat_pie
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
-1,-1_amber_collector_truth_sweet amber
-1,-1_amber_collector_truth_sweet amber
-1,-1_amber_collector_truth_sweet amber
0,0_wolves_necklace_meat_pie
8,8_morganth_tower ilgalar_glyph_gathilzogg
8,8_morganth_tower ilgalar_glyph_gathilzogg
8,8_morganth_tower ilgalar_glyph_gathilzogg
6,6_gnoll_gnolls_garrison_westfall
8,8_morganth_tower ilgalar_glyph_gathilzogg
3,3_night watch_worgen_stormwind_night
2,2_iron_murlocs_lightforge_lightforge iron
-1,-1_amber_collector_truth_sweet amber
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
-1,-1_amber_collector_truth_sweet amber
-1,-1_amber_collector_truth_sweet amber
2,2_iron_murlocs_lightforge_lightforge iron
0,0_wolves_necklace_meat_pie
3,3_night watch_worgen_stormwind_night
-1,-1_amber_collector_truth_sweet amber
6,6_gnoll_gnolls_garrison_westfall
3,3_night watch_worgen_stormwind_night
6,6_gnoll_gnolls_garrison_westfall
2,2_iron_murlocs_lightforge_lightforge iron
2,2_iron_murlocs_lightforge_lightforge iron
8,8_morganth_tower ilgalar_glyph_gathilzogg
2,2_iron_murlocs_lightforge_lightforge iron
3,3_night watch_worgen_stormwind_night
6,6_gnoll_gnolls_garrison_westfall
8,8_morganth_tower ilgalar_glyph_gathilzogg
6,6_gnoll_gnolls_garrison_westfall
3,3_night watch_worgen_stormwind_night
2,2_iron_murlocs_lightforge_lightforge iron
2,2_iron_murlocs_lightforge_lightforge iron
0,0_wolves_necklace_meat_pie
-1,-1_amber_collector_truth_sweet amber
3,3_night watch_worgen_stormwind_night
6,6_gnoll_gnolls_garrison_westfall
0,0_wolves_necklace_meat_pie
